labname,Address,country,affiliation,status,diagnostic,patient,research,latitude,longitude,absl4,acl4,containment,date,focus,size,type,urban,labtype
Centre for Infections (CFL)," 61 Colindale Avenue, London NW9 5EQ", United Kingdom,United Kingdom Health Security Agency (UKHSA),Operational,,,,51.59,-0.25,No,No,Glove box,2013,Human,30 SqM,Public Health,Yes,BSL4
National Institute for Biological Standards and Control (NIBSC)," Blanche Lane, South Mimms, Potters Bar, Hertfordshire EN6 3QG", United Kingdom,"The Medicines and Healthcare Products Regulatory Agency, Department of Health & Social Care",Operational,,,,51.69,-0.24,No,No,Suit,,Human,118 SqM,Public Health,No,BSL4
The Francis Crick Institute Containment 4 facility (formerly NIMR)," The Francis Crick Institute, 1 Midland Road, London NW1 1AT", United Kingdom,The Francis Crick Institute,Operational,,,,51.53,-0.13,No,No,Glove box,2016,Human,298 SqM,University,Yes,BSL4
Unknown," Industrial Estate, Pinnacles, Harlow CM19 5AD, United Kingdom", United Kingdom,United Kingdom Health Security Agency (UKHSA),Under Construction,,,,51.77,0.07,Unknown,No,Suit,Expected 2024,Human,,Public Health,Yes,BSL4
Centre for Research into Animal Health (CReSA)," 08193 Bellaterra, Barcelona (Edifici CReSA. Campus UAB)", Spain,The Institute of Agri-food Research and Technology (IRTA),Operational,Yes,No,Research: Yes,41.5,2.1,,,,,Animal,,University,Yes,BSL3+
Institut de Recherche Biom�dicale des Arm�es (IRBA)," 1 Place Valérie André BP 73 91223 Brétigny sur Orge, France", France,Army Health Service (SSA),Operational,,,,48.6,2.32,No,No,Suit,,Human,240 SqM,Defense,Yes,BSL4
DGA Ma�trise NRBC," BP 3, 5 rue Lavoisier, 91710 Vert le Petit, France", France,General Directorate of Armaments (DGA),Operational,,,,48.54,2.37,No,No,Suit,2013,Human,178 SqM,Defense,No,BSL4
The Institute of Tropical Medicine (ITM), Nationalestraat 155 - 2000 Antwerp - Belgium, Belgium,The Institute of Tropical Medicine (ITM),Operational,Yes,Yes,Research: Yes,51.21,4.4,,,,,Human,,Public Health,Yes,BSL3+
Viroclinics DDL, Rotterdam Science Tower Marconistraat 16 3029 AK Rotterdam, Netherlands,Private,Operational,Yes,Yes,Research: Yes,51.91,4.43,,,,,Human,,Public Health,Yes,BSL3+
The Erasmus MC Complex," Doctor Molewaterplein 40, 3015 GD Rotterdam, The Netherlands", Netherlands,Eramus,Operational,Yes,No,Research: Yes,51.91,4.47,,,,,Human,,Public Health,Yes,BSL3+
KU Leuven Rega Institute (3CAPS)," Herestraat 49 - box 1030, 3000 Leuven", Belgium,Catholic University of Leuven,Operational,Yes,No,Research: Yes,50.88,4.67,,,,1954,Human,,University,Yes,BSL3+
Jean M�rieux-Inserm," Av. Tony Garnier, 69007 Lyon, France", France,French National Institute of Health and Medical Research,Operational,,,,45.75,4.83,No,No,Suit,1999,Human,400 SqM,Public health,Yes,BSL4
Aix-Marseille University (AMU) - Unit� des virus �mergents," 27, Bd Jean Moulin, 13005 Marseille cedex 05", France,Faculté de Médecine de Marseille,Operational,No,No,Research: Yes,43.29,5.4,,Human,,,,,University,Yes,BSL3+
Wageningen Bioveterinary Research," Houtribweg 39, 8221 RA Lelystad, the Netherlands", Netherlands,Wageningen University,Operational,Yes,No,Research: Yes,52.55,5.49,,,,,Both,,University,No,BSL3+
Institute of Virology and Immunology (IVI)," Sensemattstrasse 293 3147 Mittelhäusern, Switzerland", Switzerland,Federal Department of Home Affairs,Operational,Yes,No,Research: Yes,46.88,7.36,,,,,Both,,Public Health,No,BSL3+
Spiez Laboratory," LABOR SPIEZ, Austrasse, 3700 Spiez, Switzerland", Switzerland,"Federal Office for Civil Protection, Federal Department of Defence, Civil Protection and Sports",Operational,,,,46.69,7.64,No,No,Suit,2014,Human,132 SqM,Defense,No,BSL4
Institute for Virology at the University of Marburg (UMR)," Hans-Meerwein-Straße 2, D-35043 Marburg", Germany,Philipps University of Marburg,Operational,,,,50.81,8.81,No,No,Suit,2007,Human,152 SqM,University,No,BSL4
"Laboratory of Clinical Microbiology, Virology and Bioemergencies (CLIMVIB), Luigi Sacco University Hospital"," Via Giovanni Battista Grassi, 74, 20157 Milano MI", Italy,University of Milan,Operational,,,,45.52,9.12,No,No,Suit,,Human,,University,Yes,BSL4
Bernhard Nocht Institute for Tropical Medicine (BNI)," Bernhard-Nocht-Straße 74, D-20359 Hamburg", Germany,Free and Hanseatic City of Hamburg,Operational,,,,53.55,9.96,No,No,Suit,2014,Human,150 SqM,Public Health,Yes,BSL4
"The Heinrich Pette Institute, Leibniz Institute for Experimental Virology", Martinistraße 52 20251 Hamburg, Germany,University Medical Center Hamburg-Eppendorf,Operational,No,No,Research: Yes,53.59,9.97,1948,Human,,,,,University,Yes,BSL3+
Istituto Zooprofilattico Sperimentale della Lombardia e dell� Emilia Romagna (IZSLER)," Via Antonio Bianchi, 7/9, 25124 Brescia BS, Italy", Italy,Ministry of Health,Operational,Unknown,Unknown,Research: Unknown,45.52,10.22,,,,,Both,,Public Health,Yes,BSL3+
